KEY,FREQ,REF_AREA,ADJUSTMENT,ICP_ITEM,STS_INSTITUTION,ICP_SUFFIX,TIME_PERIOD,OBS_VALUE,OBS_STATUS,OBS_CONF,OBS_PRE_BREAK,OBS_COM,TIME_FORMAT,BREAKS,COLLECTION,COMPILING_ORG,DATA_COMP,DISS_ORG,DOM_SER_IDS,PUBL_ECB,PUBL_MU,PUBL_PUBLIC,UNIT_INDEX_BASE,COMPILATION,COVERAGE,DECIMALS,SOURCE_AGENCY,TITLE,TITLE_COMPL,UNIT,UNIT_MULT
ICP.M.U2.N.XE0000.4.INX,M,U2,N,XE0000,4,INX,1997-03,74.91,A,F,,,,,A,,000000 - ERGY00,,ICPT.M.VAL.HICP.INDEX.EA.4_TOT_X_NRG.M,,,,2015 = 100,,,2,,HICP - All-items excluding energy,"Euro area (changing composition) - HICP - All-items excluding energy, Monthly Index, Eurostat, Neither seasonally nor working day adjusted",PURE_NUMB,0
ICP.M.U2.N.XE0000.4.INX,M,U2,N,XE0000,4,INX,1997-04,74.91,A,F,,,,,A,,000000 - ERGY00,,ICPT.M.VAL.HICP.INDEX.EA.4_TOT_X_NRG.M,,,,2015 = 100,,,2,,HICP - All-items excluding energy,"Euro area (changing composition) - HICP - All-items excluding energy, Monthly Index, Eurostat, Neither seasonally nor working day adjusted",PURE_NUMB,0
ICP.M.U2.N.XE0000.4.INX,M,U2,N,XE0000,4,INX,1997-05,75.14,A,F,,,,,A,,000000 - ERGY00,,ICPT.M.VAL.HICP.INDEX.EA.4_TOT_X_NRG.M,,,,2015 = 100,,,2,,HICP - All-items excluding energy,"Euro area (changing composition) - HICP - All-items excluding energy, Monthly Index, Eurostat, Neither seasonally nor working day adjusted",PURE_NUMB,0
ICP.M.U2.N.XE0000.4.INX,M,U2,N,XE0000,4,INX,1997-06,75.18,A,F,,,,,A,,000000 - ERGY00,,ICPT.M.VAL.HICP.INDEX.EA.4_TOT_X_NRG.M,,,,2015 = 100,,,2,,HICP - All-items excluding energy,"Euro area (changing composition) - HICP - All-items excluding energy, Monthly Index, Eurostat, Neither seasonally nor working day adjusted",PURE_NUMB,0
ICP.M.U2.N.XE0000.4.INX,M,U2,N,XE0000,4,INX,1997-07,75.25,A,F,,,,,A,,000000 - ERGY00,,ICPT.M.VAL.HICP.INDEX.EA.4_TOT_X_NRG.M,,,,2015 = 100,,,2,,HICP - All-items excluding energy,"Euro area (changing composition) - HICP - All-items excluding energy, Monthly Index, Eurostat, Neither seasonally nor working day adjusted",PURE_NUMB,0
ICP.M.U2.N.XE0000.4.INX,M,U2,N,XE0000,4,INX,1997-08,75.29,A,F,,,,,A,,000000 - ERGY00,,ICPT.M.VAL.HICP.INDEX.EA.4_TOT_X_NRG.M,,,,2015 = 100,,,2,,HICP - All-items excluding energy,"Euro area (changing composition) - HICP - All-items excluding energy, Monthly Index, Eurostat, Neither seasonally nor working day adjusted",PURE_NUMB,0
ICP.M.U2.N.XE0000.4.INX,M,U2,N,XE0000,4,INX,1997-09,75.37,A,F,,,,,A,,000000 - ERGY00,,ICPT.M.VAL.HICP.INDEX.EA.4_TOT_X_NRG.M,,,,2015 = 100,,,2,,HICP - All-items excluding energy,"Euro area (changing composition) - HICP - All-items excluding energy, Monthly Index, Eurostat, Neither seasonally nor working day adjusted",PURE_NUMB,0
ICP.M.U2.N.XE0000.4.INX,M,U2,N,XE0000,4,INX,1997-10,75.36,A,F,,,,,A,,000000 - ERGY00,,ICPT.M.VAL.HICP.INDEX.EA.4_TOT_X_NRG.M,,,,2015 = 100,,,2,,HICP - All-items excluding energy,"Euro area (changing composition) - HICP - All-items excluding energy, Monthly Index, Eurostat, Neither seasonally nor working day adjusted",PURE_NUMB,0
ICP.M.U2.N.XE0000.4.INX,M,U2,N,XE0000,4,INX,1997-11,75.48,A,F,,,,,A,,000000 - ERGY00,,ICPT.M.VAL.HICP.INDEX.EA.4_TOT_X_NRG.M,,,,2015 = 100,,,2,,HICP - All-items excluding energy,"Euro area (changing composition) - HICP - All-items excluding energy, Monthly Index, Eurostat, Neither seasonally nor working day adjusted",PURE_NUMB,0
ICP.M.U2.N.XE0000.4.INX,M,U2,N,XE0000,4,INX,1997-12,75.6,A,F,,,,,A,,000000 - ERGY00,,ICPT.M.VAL.HICP.INDEX.EA.4_TOT_X_NRG.M,,,,2015 = 100,,,2,,HICP - All-items excluding energy,"Euro area (changing composition) - HICP - All-items excluding energy, Monthly Index, Eurostat, Neither seasonally nor working day adjusted",PURE_NUMB,0
ICP.M.U2.N.XE0000.4.INX,M,U2,N,XE0000,4,INX,1998-01,75.59,A,F,,Introduction of harmonised treatment of price reductions in Portugal as of Jan98,,,A,,000000 - ERGY00,,ICPT.M.VAL.HICP.INDEX.EA.4_TOT_X_NRG.M,,,,2015 = 100,,,2,,HICP - All-items excluding energy,"Euro area (changing composition) - HICP - All-items excluding energy, Monthly Index, Eurostat, Neither seasonally nor working day adjusted",PURE_NUMB,0
ICP.M.U2.N.XE0000.4.INX,M,U2,N,XE0000,4,INX,1998-02,75.84,A,F,,,,,A,,000000 - ERGY00,,ICPT.M.VAL.HICP.INDEX.EA.4_TOT_X_NRG.M,,,,2015 = 100,,,2,,HICP - All-items excluding energy,"Euro area (changing composition) - HICP - All-items excluding energy, Monthly Index, Eurostat, Neither seasonally nor working day adjusted",PURE_NUMB,0
ICP.M.U2.N.XE0000.4.INX,M,U2,N,XE0000,4,INX,1998-03,75.96,A,F,,,,,A,,000000 - ERGY00,,ICPT.M.VAL.HICP.INDEX.EA.4_TOT_X_NRG.M,,,,2015 = 100,,,2,,HICP - All-items excluding energy,"Euro area (changing composition) - HICP - All-items excluding energy, Monthly Index, Eurostat, Neither seasonally nor working day adjusted",PURE_NUMB,0
ICP.M.U2.N.XE0000.4.INX,M,U2,N,XE0000,4,INX,1998-04,76.11,A,F,,,,,A,,000000 - ERGY00,,ICPT.M.VAL.HICP.INDEX.EA.4_TOT_X_NRG.M,,,,2015 = 100,,,2,,HICP - All-items excluding energy,"Euro area (changing composition) - HICP - All-items excluding energy, Monthly Index, Eurostat, Neither seasonally nor working day adjusted",PURE_NUMB,0
ICP.M.U2.N.XE0000.4.INX,M,U2,N,XE0000,4,INX,1998-05,76.32,A,F,,,,,A,,000000 - ERGY00,,ICPT.M.VAL.HICP.INDEX.EA.4_TOT_X_NRG.M,,,,2015 = 100,,,2,,HICP - All-items excluding energy,"Euro area (changing composition) - HICP - All-items excluding energy, Monthly Index, Eurostat, Neither seasonally nor working day adjusted",PURE_NUMB,0
ICP.M.U2.N.XE0000.4.INX,M,U2,N,XE0000,4,INX,1998-06,76.41,A,F,,,,,A,,000000 - ERGY00,,ICPT.M.VAL.HICP.INDEX.EA.4_TOT_X_NRG.M,,,,2015 = 100,,,2,,HICP - All-items excluding energy,"Euro area (changing composition) - HICP - All-items excluding energy, Monthly Index, Eurostat, Neither seasonally nor working day adjusted",PURE_NUMB,0
ICP.M.U2.N.XE0000.4.INX,M,U2,N,XE0000,4,INX,1998-07,76.43,A,F,,,,,A,,000000 - ERGY00,,ICPT.M.VAL.HICP.INDEX.EA.4_TOT_X_NRG.M,,,,2015 = 100,,,2,,HICP - All-items excluding energy,"Euro area (changing composition) - HICP - All-items excluding energy, Monthly Index, Eurostat, Neither seasonally nor working day adjusted",PURE_NUMB,0
ICP.M.U2.N.XE0000.4.INX,M,U2,N,XE0000,4,INX,1998-08,76.48,A,F,,,,,A,,000000 - ERGY00,,ICPT.M.VAL.HICP.INDEX.EA.4_TOT_X_NRG.M,,,,2015 = 100,,,2,,HICP - All-items excluding energy,"Euro area (changing composition) - HICP - All-items excluding energy, Monthly Index, Eurostat, Neither seasonally nor working day adjusted",PURE_NUMB,0
ICP.M.U2.N.XE0000.4.INX,M,U2,N,XE0000,4,INX,1998-09,76.47,A,F,,,,,A,,000000 - ERGY00,,ICPT.M.VAL.HICP.INDEX.EA.4_TOT_X_NRG.M,,,,2015 = 100,,,2,,HICP - All-items excluding energy,"Euro area (changing composition) - HICP - All-items excluding energy, Monthly Index, Eurostat, Neither seasonally nor working day adjusted",PURE_NUMB,0
ICP.M.U2.N.XE0000.4.INX,M,U2,N,XE0000,4,INX,1998-10,76.43,A,F,,,,,A,,000000 - ERGY00,,ICPT.M.VAL.HICP.INDEX.EA.4_TOT_X_NRG.M,,,,2015 = 100,,,2,,HICP - All-items excluding energy,"Euro area (changing composition) - HICP - All-items excluding energy, Monthly Index, Eurostat, Neither seasonally nor working day adjusted",PURE_NUMB,0
ICP.M.U2.N.XE0000.4.INX,M,U2,N,XE0000,4,INX,1998-11,76.47,A,F,,,,,A,,000000 - ERGY00,,ICPT.M.VAL.HICP.INDEX.EA.4_TOT_X_NRG.M,,,,2015 = 100,,,2,,HICP - All-items excluding energy,"Euro area (changing composition) - HICP - All-items excluding energy, Monthly Index, Eurostat, Neither seasonally nor working day adjusted",PURE_NUMB,0
ICP.M.U2.N.XE0000.4.INX,M,U2,N,XE0000,4,INX,1998-12,76.57,A,F,,,,,A,,000000 - ERGY00,,ICPT.M.VAL.HICP.INDEX.EA.4_TOT_X_NRG.M,,,,2015 = 100,,,2,,HICP - All-items excluding energy,"Euro area (changing composition) - HICP - All-items excluding energy, Monthly Index, Eurostat, Neither seasonally nor working day adjusted",PURE_NUMB,0
ICP.M.U2.N.XE0000.4.INX,M,U2,N,XE0000,4,INX,1999-01,76.54,A,F,,Introduction of harmonised treatment of price reductions in Luxembourg as of Jan99,,,A,,000000 - ERGY00,,ICPT.M.VAL.HICP.INDEX.EA.4_TOT_X_NRG.M,,,,2015 = 100,,,2,,HICP - All-items excluding energy,"Euro area (changing composition) - HICP - All-items excluding energy, Monthly Index, Eurostat, Neither seasonally nor working day adjusted",PURE_NUMB,0
ICP.M.U2.N.XE0000.4.INX,M,U2,N,XE0000,4,INX,1999-02,76.78,A,F,,,,,A,,000000 - ERGY00,,ICPT.M.VAL.HICP.INDEX.EA.4_TOT_X_NRG.M,,,,2015 = 100,,,2,,HICP - All-items excluding energy,"Euro area (changing composition) - HICP - All-items excluding energy, Monthly Index, Eurostat, Neither seasonally nor working day adjusted",PURE_NUMB,0
ICP.M.U2.N.XE0000.4.INX,M,U2,N,XE0000,4,INX,1999-03,76.93,A,F,,,,,A,,000000 - ERGY00,,ICPT.M.VAL.HICP.INDEX.EA.4_TOT_X_NRG.M,,,,2015 = 100,,,2,,HICP - All-items excluding energy,"Euro area (changing composition) - HICP - All-items excluding energy, Monthly Index, Eurostat, Neither seasonally nor working day adjusted",PURE_NUMB,0
ICP.M.U2.N.XE0000.4.INX,M,U2,N,XE0000,4,INX,1999-04,76.97,A,F,,,,,A,,000000 - ERGY00,,ICPT.M.VAL.HICP.INDEX.EA.4_TOT_X_NRG.M,,,,2015 = 100,,,2,,HICP - All-items excluding energy,"Euro area (changing composition) - HICP - All-items excluding energy, Monthly Index, Eurostat, Neither seasonally nor working day adjusted",PURE_NUMB,0
ICP.M.U2.N.XE0000.4.INX,M,U2,N,XE0000,4,INX,1999-05,77.06,A,F,,,,,A,,000000 - ERGY00,,ICPT.M.VAL.HICP.INDEX.EA.4_TOT_X_NRG.M,,,,2015 = 100,,,2,,HICP - All-items excluding energy,"Euro area (changing composition) - HICP - All-items excluding energy, Monthly Index, Eurostat, Neither seasonally nor working day adjusted",PURE_NUMB,0
ICP.M.U2.N.XE0000.4.INX,M,U2,N,XE0000,4,INX,1999-06,77.03,A,F,,,,,A,,000000 - ERGY00,,ICPT.M.VAL.HICP.INDEX.EA.4_TOT_X_NRG.M,,,,2015 = 100,,,2,,HICP - All-items excluding energy,"Euro area (changing composition) - HICP - All-items excluding energy, Monthly Index, Eurostat, Neither seasonally nor working day adjusted",PURE_NUMB,0
