DATE,FPCPITOTLZGZAF
1961-01-01,2.10235131396958
1962-01-01,1.24627472229749
1963-01-01,1.33797163500133
1964-01-01,2.5349881172432
1965-01-01,4.06901879989698
1966-01-01,3.48923533778769
1967-01-01,3.53897656623624
1968-01-01,1.98614318706698
1969-01-01,3.23822463768116
1970-01-01,4.05790743584118
1971-01-01,5.71247892074201
1972-01-01,6.4606181455633
1973-01-01,9.58981082599738
1974-01-01,11.6390360622116
1975-01-01,12.5229638701776
1976-01-01,11.0204081632653
1977-01-01,11.1519607843137
1978-01-01,11.135611907387
1979-01-01,13.2936507936508
1980-01-01,13.6602451838879
1981-01-01,15.2542372881356
1982-01-01,14.6390374331551
1983-01-01,12.3032069970846
1984-01-01,11.5264797507788
1985-01-01,16.2942271880819
1986-01-01,18.6549239391513
1987-01-01,16.1605937921728
1988-01-01,12.7795527156549
1989-01-01,14.7308781869688
1990-01-01,14.320987654321
1991-01-01,15.3347732181425
1992-01-01,13.8747020769493
1993-01-01,9.71744655404396
1994-01-01,8.93854748603352
1995-01-01,8.68042526579112
1996-01-01,7.35412590631834
1997-01-01,8.59777015437391
1998-01-01,6.88055281342547
1999-01-01,5.18149071765033
2000-01-01,5.33895328415877
2001-01-01,5.70190063354449
2002-01-01,9.16403785488959
2003-01-01,5.85897991619709
2004-01-01,1.38538183307172
2005-01-01,3.3992999461497
2006-01-01,4.64162489421264
2007-01-01,7.09841980838621
2008-01-01,11.5364507696776
2009-01-01,7.13
2010-01-01,4.25741598502022
2011-01-01,5.00047263446459
2012-01-01,5.65358300324086
2013-01-01,5.75153374233129
2014-01-01,6.06719845298526
2015-01-01,4.58827104223609
2016-01-01,6.32626380011682
