,YER,PCR,GCR,ITR,XTR,MTR,YED,PCD,GCD,ITD,XTD,MTD,YFD,YIN,WIN,GON,TIN,YFN,HICP,HEX,HEG,HICPSYA,HEXSYA,HEGSYA,HEGWEI,CAN_YEN,NFN_YEN,LFN,LNN,UNN,URX,LEN,STN,LTN,COMPR,POILU,PCOMU,YWD,YWDX,YWR,YWRX,LPROD,ULC,WRN,SAX,EEN,EXR
1978Q2,990542.197241782,565755.471210359,185103.536808886,230963.312728414,175379.804674303,159369.294889467,0.354107891,0.351856595,0.342202378,0.379183440,0.461111030,0.498422319,0.320753308,350758.808592062,192087.085048433,125632.601553440,33039.121990188,317719.686601874,39.699258072,NA,NA,NA,NA,NA,NA,0.016300526,0.012205549,128936.633990531,123509.852475556,5426.781514974,0.042088748,99978.261043327,7.909355931,9.575315000,27.790109165,13.893300000,78.617189039,0.462075875,0.538517948,65.681648774,20976.504818756,8.019944785,0.193921153,1.555236940,0.270216028,1.324378247,0.809348090
1978Q3,995181.345109445,569983.984169394,187382.103290351,231285.953262767,178971.001418864,164137.825481433,0.362077317,0.359900209,0.349728797,0.389221103,0.464144125,0.499139564,0.328126627,360332.590954425,198025.861518669,128519.636738133,33787.092697623,326545.498256802,40.334246668,NA,NA,NA,NA,NA,NA,0.015749624,0.012584059,129245.930514946,123680.808092948,5565.122421999,0.043058396,100231.580357778,9.172121063,9.576661000,27.991596900,13.980000000,79.306435628,0.469160892,0.548000042,66.209326604,21104.555491866,8.046368393,0.198984700,1.601104202,0.272746608,1.349222366,0.780292114
1978Q4,1007033.034169170,576403.041700374,189144.876577816,233362.271162878,180754.648344037,169666.402191200,0.369403990,0.367156263,0.357655297,0.400376484,0.472736450,0.505016533,0.335589394,372002.020957257,203857.625729250,134091.980408950,34052.414819058,337949.606138199,40.945646981,NA,NA,NA,NA,NA,NA,0.018756701,0.019388491,129546.803769998,123893.072798225,5653.730971773,0.043642381,100505.885658036,9.136764561,9.771184000,30.228642984,15.166700000,85.056984910,0.475914669,0.550441707,66.879932733,21356.247336809,8.128243262,0.202433901,1.645431993,0.270340816,1.308439815,0.745242923
1979Q1,1012176.488190180,580391.734832341,190773.610083904,229939.081908657,185516.400829746,170557.033081133,0.377626620,0.375457578,0.367467478,0.409436261,0.483000577,0.521781583,0.342763614,382224.786139873,210730.353560048,136206.917230379,35287.515349446,346937.270790427,41.896552659,NA,NA,NA,NA,NA,NA,0.028006430,0.026407868,129834.849705012,124178.065041727,5656.784663284,0.043569078,100794.558440271,7.697024631,9.729662000,37.822199864,21.400000000,88.868183495,0.485602933,0.558309691,66.937868880,21389.876828761,8.151008697,0.208195266,1.697001427,0.266535751,1.286525162,0.738499889
1979Q2,1028391.334816690,591436.759974091,192453.347301858,238990.602212400,186433.423376834,177174.742712440,0.386689208,0.384787190,0.377279210,0.420453034,0.501625346,0.543684160,0.351295548,397667.830400699,216743.306863619,144525.991072234,36398.532464845,361269.297935853,42.853421375,NA,NA,NA,NA,NA,NA,0.018841604,0.025901191,130441.453331337,124578.960273194,5862.493058142,0.044943482,101216.252019067,9.350466897,10.175860000,48.708290288,30.966700000,96.087041993,0.495305427,0.577323125,68.316983301,21856.884364175,8.254935926,0.210759562,1.739806677,0.258441397,1.295800765,0.750670533
1979Q3,1033637.464212670,589231.854503101,193812.334030520,240512.777348724,191511.059654982,180726.246032193,0.397941986,0.396639676,0.390600820,0.434071781,0.518173099,0.572493516,0.360482765,411327.744918797,225905.005870848,146703.484749347,38719.254298602,372608.490620195,43.880039446,NA,NA,NA,NA,NA,NA,0.010642874,0.020923543,131103.766180462,125058.595601238,6045.170579224,0.046109816,101717.869574269,11.022080144,10.599570000,53.915144768,35.750000000,99.853402949,0.513092946,0.593979550,68.087363368,21893.374854503,8.265225267,0.218553423,1.806393273,0.258760495,1.279244438,0.719858782
1979Q4,1043455.186042410,595240.374246954,194788.625655695,244289.997609465,192463.204241479,183669.208619413,0.408626463,0.408780992,0.401132661,0.447955673,0.535275021,0.602027874,0.370790386,426383.402184672,233998.957157175,152904.193534121,39480.251493376,386903.150691296,44.985963125,NA,NA,NA,NA,NA,NA,0.009637944,0.027352606,131361.933313476,125399.645897810,5962.287415666,0.045388243,102048.717032264,12.693692391,11.134740000,58.211060737,40.333300000,100.929506079,0.526333297,0.602019544,68.547190314,22125.664406510,8.321037740,0.224253960,1.866025661,0.253965682,1.228381619,0.711936650
1980Q1,1053303.499424230,600656.855342773,196546.047424002,246887.768520706,198645.070847364,188579.635681962,0.420605440,0.421633219,0.412462987,0.467642320,0.554855057,0.638911556,0.380855332,443025.182006893,242686.036226129,158470.217706272,41868.928074492,401156.253932401,46.534235086,NA,NA,NA,NA,NA,NA,0.003121445,0.026295040,131531.911872634,125503.596894245,6028.314978389,0.045831577,102352.400643208,12.735106889,12.090840000,58.328342137,38.916700000,107.027423816,0.538559969,0.620889723,69.257901916,22351.056738166,8.392616032,0.230404661,1.933697856,0.244523440,1.228756785,0.708656271
1980Q2,1048357.645284890,596983.225389955,198823.920263905,242742.051618369,189977.854586911,183505.719245605,0.431775280,0.433352827,0.427511836,0.482498164,0.570014004,0.667569996,0.391370183,452654.915648873,248805.975002078,161489.948656962,42358.991989834,410295.923659040,47.741793283,NA,NA,NA,NA,NA,NA,-0.002741506,0.028657412,131992.910042279,125747.131245456,6245.778796823,0.047319048,102266.096722645,13.237090305,12.314000000,56.568192467,38.216700000,101.871096318,0.554018511,0.641364035,68.398786032,22233.013606929,8.337030316,0.237329289,1.978621481,0.249794076,1.262326540,0.718867284
1980Q3,1047760.030156770,601306.617127324,200126.415210675,241801.957857790,187787.252003116,184924.811981295,0.441979722,0.444728391,0.440298843,0.495084947,0.580230460,0.676384616,0.400636011,463088.686769124,255471.017819558,164299.381113803,43318.287835763,419770.398933361,48.839467060,NA,NA,NA,NA,NA,NA,-0.005571735,0.029238907,132381.233805219,125813.594856527,6567.638948691,0.049611556,102367.871026963,12.239029243,12.247140000,53.833101233,34.800000000,103.574926274,0.569085322,0.654797554,68.435713778,22239.969436067,8.327876104,0.243825886,2.030551771,0.246232279,1.270661840,0.702625956
1980Q4,1048252.193327120,600976.043947569,200898.228758678,239671.681971286,189252.024254312,181632.422307996,0.451421218,0.457296822,0.454217034,0.506513998,0.594916235,0.700420450,0.409142548,473203.281602797,262306.671750234,166577.901886395,44318.707966168,428884.573636629,50.038743370,NA,NA,NA,NA,NA,NA,-0.001315022,0.029601842,132573.707974275,125795.186214032,6778.521760242,0.051130212,102240.738466318,12.663299259,12.836650000,58.060658278,39.633300000,102.947199448,0.584065400,0.684082560,68.623749840,22150.052834903,8.333007207,0.250232409,2.085188469,0.248491840,1.354786491,0.745127976
1981Q1,1049263.628550550,600548.657228329,205829.634310208,237300.081137872,192759.990466569,181642.916040772,0.461789319,0.469395598,0.466615946,0.521455917,0.617694909,0.743488178,0.419342960,484538.736144400,267904.865289002,172096.450188829,44537.420666569,440001.315477832,51.673186530,NA,NA,NA,NA,NA,NA,-0.009986994,0.022997976,132792.843466379,125734.468986749,7058.374479629,0.053153275,102155.539807659,13.432882044,13.362010000,56.485171254,39.116700000,98.015060101,0.596223988,0.724473382,69.013522072,22190.054515615,8.345075436,0.255326553,2.130719344,0.250324565,1.448571608,0.811117294
1981Q2,1052406.751354930,599852.168508288,204052.148615685,236979.031134760,201055.453395315,181702.402787948,0.475708040,0.483997981,0.480972212,0.537686325,0.641736607,0.780801023,0.432158533,500638.353135545,277704.061347849,177102.496371016,45831.795416680,454806.557718866,53.054637352,NA,NA,NA,NA,NA,NA,-0.002422930,0.023241859,133121.265450178,125466.797741523,7654.467708656,0.057499962,101950.748731059,15.507875288,14.522170000,51.522515154,35.210000000,91.199740277,0.604134209,0.761962921,69.020973491,22126.464306066,8.387930276,0.263875218,2.213366933,0.251984423,1.511500653,0.896791589
1981Q3,1055310.325987200,601861.577964085,205496.369256457,235312.502115834,209160.522976706,182346.337656055,0.489353545,0.498039465,0.495834898,0.550710196,0.659446791,0.810251418,0.444163359,516419.849129033,286712.233326019,182017.945396892,47689.670406123,468730.178722911,54.397898144,NA,NA,NA,NA,NA,NA,0.000631740,0.019639807,133386.250026118,125265.303036261,8120.946989857,0.060882939,101761.372447532,16.133415178,15.224630000,50.577589679,35.590000000,85.684711736,0.613237140,0.788553195,69.784531115,22187.826078418,8.424602028,0.271685234,2.288839977,0.250127080,1.523666053,0.968121442
